"","x"
"1505",727097
"1506",727096
"1507",727095
"1508",727094
"1509",727093
"1510",727092
"1511",727091
"1512",727090
"1513",727089
"1514",727088
"1515",727087
"1516",725907
"1517",725100
"1518",725099
"1519",725098
"1520",724784
"1521",724783
"1522",724782
"1523",724781
"1524",724705
"1525",724704
"1526",724702
"1527",724701
"1528",724700
"1529",724699
"1530",724698
"1531",724697
"1532",724695
"1533",724606
"1534",724067
"1535",723710
"1536",723709
"1537",723708
"1538",723707
"1539",723706
"1540",723705
"1541",723704
"1542",723703
"1543",723702
"1544",723701
"1545",723700
"1546",723699
"1547",723698
"1548",723697
"1549",723696
"1550",723695
"1551",723694
"1552",723693
"1553",723692
"1554",723691
"1555",723690
"1556",723689
"1557",723688
"1558",723687
"1559",723686
"1560",723685
"1561",723684
"1562",723683
"1563",723682
"1564",723681
"1565",723680
"1566",723409
"1567",722536
"1568",722535
"1569",722534
"1570",721950
"1571",721897
"1572",721786
"1573",721418
"1574",721417
"1575",721399
"1576",721398
"1577",721397
"1578",721364
"1579",721064
"1580",721019
"1581",721018
"1582",721017
"1583",720976
"1584",720975
"1585",720961
"1586",720960
"1587",720959
"1588",720958
"1589",720957
"1590",720956
"1591",720955
"1592",720954
"1593",720953
"1594",720952
"1595",720951
"1596",720950
"1597",720949
"1598",720736
"1599",720735
"1600",720734
"1601",720733
"1602",720732
"1603",720731
"1604",720730
"1605",720729
"1606",720728
"1607",720727
"1608",720726
"1609",720725
"1610",720700
"1611",720699
"1612",720698
"1613",720309
"1614",720308
"1615",720035
"1616",719967
"1617",719966
"1618",719370
"1619",719369
"1620",719310
"1621",719309
"1622",719308
"1623",719307
"1624",719306
"1625",719304
"1626",719303
"1627",719302
"1628",719301
"1629",719300
"1630",719299
"1631",719179
"1632",719125
"1633",719124
"1634",719123
"1635",719122
"1636",719121
"1637",719120
"1638",719119
"1639",719118
"1640",719117
"1641",719116
"1642",719115
"1643",719114
"1644",719113
"1645",719112
"1646",719111
"1647",719110
"1648",718841
"1649",718792
"1650",717878
"1651",717877
"1652",717876
"1653",717857
"1654",717856
"1655",717801
"1656",717440
"1657",717341
"1658",717340
"1659",717339
"1660",717338
"1661",717337
"1662",717226
"1663",717225
"1664",717224
"1665",717223
"1666",717222
"1667",717221
"1668",717220
"1669",717219
"1670",717218
"1671",717217
"1672",717216
"1673",717215
"1674",717214
"1675",717213
"1676",717212
"1677",716908
"1678",716907
"1679",715515
"1680",715514
"1681",715513
"1682",715512
"1683",715511
"1684",715510
"1685",715509
"1686",715508
"1687",715507
"1688",715407
"1689",715405
"1690",715366
"1691",715365
"1692",715364
"1693",715290
"1694",714725
"1695",714645
"1696",714644
"1697",714643
"1698",713808
"1699",713792
"1700",713752
"1701",713417
"1702",713416
"1703",713278
"1704",712645
"1705",712382
"1706",711910
"1707",711909
"1708",711908
"1709",711907
"1710",711773
"1711",711772
"1712",711771
"1713",711770
"1714",711769
"1715",711768
"1716",711541
"1717",711382
"1718",710800
"1719",710799
"1720",710798
"1721",710756
"1722",710755
"1723",710754
"1724",710740
"1725",710739
"1726",710738
"1727",710703
"1728",710702
"1729",710701
"1730",710700
"1731",710699
"1732",710698
"1733",710697
"1734",710589
"1735",710588
"1736",710586
"1737",710582
"1738",710581
"1739",710580
"1740",710537
"1741",710536
"1742",710535
"1743",710534
"1744",710533
"1745",710527
"1746",710526
"1747",710525
"1748",710524
"1749",710523
"1750",710235
"1751",710234
"1752",710233
"1753",710232
"1754",710231
"1755",710230
"1756",710229
"1757",710228
"1758",710227
"1759",710226
"1760",710225
"1761",710224
"1762",710223
"1763",710222
"1764",710221
"1765",710220
"1766",710219
"1767",710218
"1768",710217
"1769",710216
"1770",710215
"1771",710214
"1772",710213
"1773",710212
"1774",710211
"1775",710210
"1776",710209
"1777",710208
"1778",710207
"1779",710206
"1780",710205
"1781",710204
"1782",710203
"1783",710202
"1784",710201
"1785",710200
"1786",710199
"1787",710198
"1788",710197
"1789",710196
"1790",710195
"1791",710194
"1792",710193
"1793",710192
"1794",710191
"1795",710190
"1796",710189
"1797",710188
"1798",710187
"1799",710186
"1800",710185
"1801",710184
"1802",710183
"1803",710182
"1804",710181
"1805",710180
"1806",710179
"1807",710178
"1808",710177
"1809",710176
"1810",710175
"1811",710174
"1812",710173
"1813",710172
"1814",710171
"1815",710170
"1816",710169
"1817",710168
"1818",710167
"1819",710166
"1820",710165
"1821",710164
"1822",710163
"1823",710162
"1824",710161
"1825",710160
"1826",710159
"1827",710158
"1828",710157
"1829",710156
"1830",710155
"1831",710154
"1832",710153
"1833",710152
"1834",710151
"1835",710150
"1836",710149
"1837",710148
"1838",710147
"1839",710146
"1840",710145
"1841",710144
"1842",710143
"1843",710142
"1844",710141
"1845",710140
"1846",710139
"1847",710138
"1848",710137
"1849",710136
